2024-09-16 23:23:17.315  WARN 88702 --- [r-http-kqueue-2] org.springframework.cloud.loadbalancer.core.RoundRobinLoadBalancer : No servers available for service: productService
2024-09-16 23:26:15.446  INFO 88702 --- [ionShutdownHook] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry : Unregistering application APIGATEWAY with eureka with status DOWN
2024-09-16 23:26:19.573  INFO 88743 --- [kground-preinit] org.hibernate.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Between]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Cookie]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Header]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Host]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Method]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Path]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Query]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [ReadBody]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [RemoteAddr]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [Weight]
2024-09-16 23:26:20.205  INFO 88743 --- [  restartedMain] org.springframework.cloud.gateway.route.RouteDefinitionRouteLocator : Loaded RoutePredicateFactory [CloudFoundryRouteService]
2024-09-16 23:26:20.288  INFO 88743 --- [  restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-16 23:26:20.300  INFO 88743 --- [  restartedMain] org.springframework.cloud.netflix.eureka.config.DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
2024-09-16 23:26:20.312  WARN 88743 --- [  restartedMain] org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-09-16 23:26:20.335  INFO 88743 --- [  restartedMain] org.springframework.cloud.netflix.eureka.InstanceInfoFactory : Setting initial instance status as: STARTING
2024-09-16 23:26:20.505  INFO 88743 --- [  restartedMain] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry : Registering application APIGATEWAY with eureka with status UP
2024-09-16 23:26:20.732  INFO 88743 --- [  restartedMain] org.springframework.boot.web.embedded.netty.NettyWebServer : Netty started on port 8080 (http)
2024-09-16 23:26:20.732  INFO 88743 --- [  restartedMain] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration : Updating port to 8080
2024-09-16 23:27:21.555  INFO 88743 --- [ionShutdownHook] org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry : Unregistering application APIGATEWAY with eureka with status DOWN
